Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
109,Matt Stairs,2002-01-25,Milwaukee Brewers,CHC,34,3.0,9,818,2485,398,658,140,470,21,358,.265,.359,.495,.854,,,,,,,,,,,,
110,Brian Boehringer,2002-01-24,Pittsburgh Pirates,SFG,33,1.6,7,203,30,0,2,0,2,0,3,.067,.152,.100,.252,16,23,4.36,1.525,203,21,2,367.1,366,46,194,300
111,Kevin Brown,2002-01-24,Tampa Bay Devil Rays,MIL,29,0.2,6,83,188,30,48,7,31,0,14,.255,.313,.452,.765,,,,,,,,,,,,
112,Robert Ellis,2002-01-24,Los Angeles Dodgers,ARI,31,-0.4,2,22,26,2,4,0,1,0,1,.154,.185,.154,.339,6,5,5.47,1.485,22,17,0,97.0,106,12,38,46
113,Hector Carrasco,2002-01-23,Texas Rangers,MIN,32,1.7,8,458,18,0,1,0,0,0,0,.056,.056,.056,.111,28,36,4.17,1.473,458,1,15,567.0,556,40,279,455
114,Chris Fussell,2002-01-23,Kansas City Royals,KCR,26,-1.4,3,,,,,,,,,,,,,,,,,,,,,,,,
115,Michael Jackson,2002-01-23,Minnesota Twins,HOU,37,1.5,15,902,28,3,5,0,1,0,1,.179,.207,.250,.457,58,64,3.35,1.201,902,7,142,1086.2,869,115,436,951
116,Steve Reed,2002-01-23,San Diego Padres,ATL,37,1.9,10,608,21,0,3,0,0,0,0,.143,.143,.143,.286,38,26,3.67,1.247,607,0,17,641.2,583,84,217,488
117,Alberto Reyes,2002-01-23,Pittsburgh Pirates,LAD,32,0.9,7,192,10,2,2,0,0,0,0,.200,.200,.200,.400,15,8,4.22,1.407,192,0,3,236.2,207,31,126,225
118,Chan Perry,2002-01-22,Kansas City Royals,ATL,29,-0.3,1,13,14,1,1,0,0,0,0,.071,.071,.071,.143,,,,,,,,,,,,
119,Jay Tessmer,2002-01-22,New York Yankees,MIL,30,-0.4,3,20,0,0,0,0,0,0,0,,,,,1,0,7.77,1.727,20,0,0,22.0,29,5,9,14
120,Tony Tarasco,2002-01-21,New York Mets,NYM,31,-0.5,7,397,910,136,217,28,103,37,98,.238,.313,.387,.700,,,,,,,,,,,,
121,Mike Bell,2002-01-20,Colorado Rockies,COL,27,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,
